,OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus,size.sub,preferred
2431,Otu002431,497,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,34,Bacteroidetes
2438,Otu002438,495,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,148,Bacteroidetes
2440,Otu002440,495,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola,103,Bacteroidetes
2459,Otu002459,490,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae_unclassified,32,Bacteroidetes
2480,Otu002480,484,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ohtaekwangia,57,Bacteroidetes
2500,Otu002500,477,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group_unclassified,65,Bacteroidetes
2502,Otu002502,476,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Chryseolinea,111,Bacteroidetes
2504,Otu002504,476,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,PHOS-HE51,PHOS-HE51_unclassified,84,Bacteroidetes
2514,Otu002514,474,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter,35,Bacteroidetes
2522,Otu002522,472,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,43,Bacteroidetes
2527,Otu002527,470,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ohtaekwangia,58,Bacteroidetes
2529,Otu002529,470,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,88,Bacteroidetes
2535,Otu002535,469,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Cloacibacterium,169,Bacteroidetes
2556,Otu002556,464,Bacteria,Bacteroidetes,Cytophagia,Order_II,Rhodothermaceae,Rhodothermaceae_unclassified,42,Bacteroidetes
2574,Otu002574,461,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,93,Bacteroidetes
2581,Otu002581,459,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_unclassified,77,Bacteroidetes
2588,Otu002588,458,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Terrimonas,56,Bacteroidetes
2590,Otu002590,458,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella,22,Bacteroidetes
2599,Otu002599,456,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,79,Bacteroidetes
2618,Otu002618,453,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,97,Bacteroidetes
2622,Otu002622,452,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,53,Bacteroidetes
2637,Otu002637,448,Bacteria,Bacteroidetes,SB-1,SB-1_unclassified,SB-1_unclassified,SB-1_unclassified,114,Bacteroidetes
2638,Otu002638,448,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,113,Bacteroidetes
2649,Otu002649,444,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae_unclassified,158,Bacteroidetes
2658,Otu002658,442,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Ferruginibacter,62,Bacteroidetes
2661,Otu002661,441,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidaceae,Bacteroides,91,Bacteroidetes
2663,Otu002663,440,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Haliscomenobacter,97,Bacteroidetes
2669,Otu002669,438,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,61,Bacteroidetes
2670,Otu002670,438,Bacteria,Bacteroidetes,vadinHA17,vadinHA17_unclassified,vadinHA17_unclassified,vadinHA17_unclassified,68,Bacteroidetes
2672,Otu002672,436,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,140,Bacteroidetes
2695,Otu002695,433,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_unclassified,69,Bacteroidetes
2699,Otu002699,433,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_unclassified,89,Bacteroidetes
2720,Otu002720,428,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS2b_marine_group,43,Bacteroidetes
2725,Otu002725,426,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,98,Bacteroidetes
2758,Otu002758,422,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,37,Bacteroidetes
2764,Otu002764,420,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter,33,Bacteroidetes
2776,Otu002776,419,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,88,Bacteroidetes
2799,Otu002799,416,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,26,Bacteroidetes
2806,Otu002806,415,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,144,Bacteroidetes
2882,Otu002882,398,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Chryseobacterium,90,Bacteroidetes
2896,Otu002896,395,Bacteria,Bacteroidetes,vadinHA17,vadinHA17_unclassified,vadinHA17_unclassified,vadinHA17_unclassified,82,Bacteroidetes
2897,Otu002897,395,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Ferruginibacter,82,Bacteroidetes
2916,Otu002916,393,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,28,Bacteroidetes
2969,Otu002969,384,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,WCHB1-69,WCHB1-69_unclassified,91,Bacteroidetes
2984,Otu002984,382,Bacteria,Bacteroidetes,vadinHA17,vadinHA17_unclassified,vadinHA17_unclassified,vadinHA17_unclassified,83,Bacteroidetes
3007,Otu003007,378,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,18,Bacteroidetes
3024,Otu003024,375,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_unclassified,51,Bacteroidetes
3025,Otu003025,375,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Tenacibaculum,31,Bacteroidetes
3042,Otu003042,373,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Winogradskyella,38,Bacteroidetes
3048,Otu003048,372,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,71,Bacteroidetes
3051,Otu003051,371,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,73,Bacteroidetes
3053,Otu003053,370,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Taibaiella,70,Bacteroidetes
3059,Otu003059,370,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group_unclassified,37,Bacteroidetes
3061,Otu003061,370,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae_unclassified,21,Bacteroidetes
3067,Otu003067,369,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,91,Bacteroidetes
3075,Otu003075,367,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,58,Bacteroidetes
3077,Otu003077,367,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,69,Bacteroidetes
3133,Otu003133,359,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,103,Bacteroidetes
3137,Otu003137,359,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,WCHB1-69,WCHB1-69_unclassified,82,Bacteroidetes
3161,Otu003161,354,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter,75,Bacteroidetes
3162,Otu003162,354,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,72,Bacteroidetes
3183,Otu003183,351,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella,81,Bacteroidetes
3214,Otu003214,346,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,59,Bacteroidetes
3215,Otu003215,346,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Formosa,29,Bacteroidetes
3225,Otu003225,344,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Parapedobacter,26,Bacteroidetes
3226,Otu003226,344,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,80,Bacteroidetes
3255,Otu003255,339,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,66,Bacteroidetes
3282,Otu003282,336,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Chryseolinea,17,Bacteroidetes
3289,Otu003289,334,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ohtaekwangia,24,Bacteroidetes
3298,Otu003298,333,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Flammeovirgaceae,Flammeovirgaceae_unclassified,18,Bacteroidetes
3299,Otu003299,332,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group_unclassified,72,Bacteroidetes
3301,Otu003301,332,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Fluviicola,69,Bacteroidetes
3306,Otu003306,332,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Chryseolinea,30,Bacteroidetes
3315,Otu003315,331,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Prevotellaceae,Prevotella,67,Bacteroidetes
3328,Otu003328,329,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,12,Bacteroidetes
3363,Otu003363,324,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ohtaekwangia,21,Bacteroidetes
3377,Otu003377,323,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Hymenobacter,56,Bacteroidetes
3393,Otu003393,320,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Ferruginibacter,54,Bacteroidetes
3410,Otu003410,317,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,55,Bacteroidetes
3414,Otu003414,317,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,49,Bacteroidetes
3424,Otu003424,316,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Pedobacter,37,Bacteroidetes
3516,Otu003516,306,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_unclassified,48,Bacteroidetes
3550,Otu003550,302,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,27,Bacteroidetes
3554,Otu003554,301,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,49,Bacteroidetes
3566,Otu003566,300,Bacteria,Bacteroidetes,SB-5,SB-5_unclassified,SB-5_unclassified,SB-5_unclassified,33,Bacteroidetes
3575,Otu003575,299,Bacteria,Bacteroidetes,vadinHA17,vadinHA17_unclassified,vadinHA17_unclassified,vadinHA17_unclassified,63,Bacteroidetes
3601,Otu003601,296,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Taibaiella,48,Bacteroidetes
3629,Otu003629,292,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ohtaekwangia,62,Bacteroidetes
3631,Otu003631,292,Bacteria,Bacteroidetes,vadinHA17,vadinHA17_unclassified,vadinHA17_unclassified,vadinHA17_unclassified,59,Bacteroidetes
3649,Otu003649,289,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified,46,Bacteroidetes
3670,Otu003670,288,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,38,Bacteroidetes
3697,Otu003698,284,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Hydrotalea,80,Bacteroidetes
3712,Otu003713,283,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,78,Bacteroidetes
3716,Otu003717,283,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Paludibacter,33,Bacteroidetes
3723,Otu003724,282,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,39,Bacteroidetes
3762,Otu003763,280,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9_marine_group,NS9_marine_group_unclassified,31,Bacteroidetes
3765,Otu003766,279,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,58,Bacteroidetes
3771,Otu003772,279,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,53,Bacteroidetes
3793,Otu003794,277,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Taibaiella,30,Bacteroidetes
3803,Otu003804,277,Bacteria,Bacteroidetes,BD2-2,BD2-2_unclassified,BD2-2_unclassified,BD2-2_unclassified,66,Bacteroidetes
3810,Otu003811,276,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,19,Bacteroidetes
3828,Otu003829,273,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,NS11-12_marine_group,NS11-12_marine_group_unclassified,29,Bacteroidetes
3863,Otu003864,270,Bacteria,Bacteroidetes,Cytophagia,Order_II,Rhodothermaceae,Rhodothermaceae_unclassified,15,Bacteroidetes
3868,Otu003869,270,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ohtaekwangia,114,Bacteroidetes
3880,Otu003881,269,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae_unclassified,81,Bacteroidetes
3901,Otu003902,266,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophaga,43,Bacteroidetes
3924,Otu003925,265,Bacteria,Bacteroidetes,WCHB1-32,WCHB1-32_unclassified,WCHB1-32_unclassified,WCHB1-32_unclassified,61,Bacteroidetes
3930,Otu003931,264,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS5_marine_group,25,Bacteroidetes
4007,Otu004008,257,Bacteria,Bacteroidetes,Cytophagia,Order_II,Rhodothermaceae,Rhodothermaceae_unclassified,13,Bacteroidetes
4017,Otu004018,255,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flaviramulus,28,Bacteroidetes
4044,Otu004045,253,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Ferruginibacter,43,Bacteroidetes
4049,Otu004050,252,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,92,Bacteroidetes
4058,Otu004059,252,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,NS9_marine_group,NS9_marine_group_unclassified,24,Bacteroidetes
4072,Otu004073,251,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,44,Bacteroidetes
4099,Otu004100,249,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,45,Bacteroidetes
4102,Otu004103,248,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified,63,Bacteroidetes
4123,Otu004124,247,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Rikenellaceae,Blvii28_wastewater-sludge_group,62,Bacteroidetes
4136,Otu004137,246,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriales_unclassified,Flavobacteriales_unclassified,49,Bacteroidetes
4167,Otu004168,244,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,PHOS-HE51,PHOS-HE51_unclassified,74,Bacteroidetes
4171,Otu004172,244,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,49,Bacteroidetes
4181,Otu004182,242,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,25,Bacteroidetes
4182,Otu004183,242,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,48,Bacteroidetes
4196,Otu004197,241,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophaga,41,Bacteroidetes
4261,Otu004262,236,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,60,Bacteroidetes
4289,Otu004290,234,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Ohtaekwangia,41,Bacteroidetes
4307,Otu004308,234,Bacteria,Bacteroidetes,vadinHA17,vadinHA17_unclassified,vadinHA17_unclassified,vadinHA17_unclassified,40,Bacteroidetes
4321,Otu004322,233,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,NS4_marine_group,22,Bacteroidetes
4337,Otu004338,231,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Niastella,32,Bacteroidetes
4377,Otu004378,227,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,84,Bacteroidetes
4379,Otu004380,227,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,45,Bacteroidetes
4435,Otu004436,222,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Rudanella,32,Bacteroidetes
4438,Otu004439,222,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified,49,Bacteroidetes
4460,Otu004461,221,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,54,Bacteroidetes
4477,Otu004478,220,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,47,Bacteroidetes
4486,Otu004487,219,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,56,Bacteroidetes
4502,Otu004503,218,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,53,Bacteroidetes
4522,Otu004523,217,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,WCHB1-69,WCHB1-69_unclassified,61,Bacteroidetes
4596,Otu004597,211,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriales_unclassified,Sphingobacteriales_unclassified,29,Bacteroidetes
4601,Otu004602,211,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,23,Bacteroidetes
4631,Otu004632,209,Bacteria,Bacteroidetes,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,Bacteroidetes_unclassified,36,Bacteroidetes
4645,Otu004646,209,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Gaetbulibacter,50,Bacteroidetes
4683,Otu004684,206,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,40,Bacteroidetes
4708,Otu004709,204,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,30,Bacteroidetes
4743,Otu004744,202,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,33,Bacteroidetes
4777,Otu004778,200,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cyclobacteriaceae,Algoriphagus,62,Bacteroidetes
4791,Otu004792,199,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,21,Bacteroidetes
4819,Otu004820,197,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Spirosoma,50,Bacteroidetes
4879,Otu004880,195,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,32,Bacteroidetes
4904,Otu004905,194,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Hymenobacter,38,Bacteroidetes
4914,Otu004915,194,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,28,Bacteroidetes
4946,Otu004947,192,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,30,Bacteroidetes
4984,Otu004985,190,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Owenweeksia,21,Bacteroidetes
4992,Otu004993,189,Bacteria,Bacteroidetes,SB-5,SB-5_unclassified,SB-5_unclassified,SB-5_unclassified,51,Bacteroidetes
5018,Otu005019,188,Bacteria,Bacteroidetes,BD2-2,BD2-2_unclassified,BD2-2_unclassified,BD2-2_unclassified,37,Bacteroidetes
5037,Otu005038,187,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,61,Bacteroidetes
5080,Otu005081,184,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Sphingobacteriaceae_unclassified,48,Bacteroidetes
5088,Otu005089,184,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Saprospiraceae,Saprospiraceae_unclassified,33,Bacteroidetes
5090,Otu005091,184,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Porphyromonadaceae,Butyricimonas,38,Bacteroidetes
5173,Otu005174,180,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Ferruginibacter,17,Bacteroidetes
5207,Otu005208,178,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Sphingobacteriaceae,Mucilaginibacter,35,Bacteroidetes
5273,Otu005274,174,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,19,Bacteroidetes
5297,Otu005298,174,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae_unclassified,30,Bacteroidetes
5346,Otu005347,171,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,22,Bacteroidetes
5364,Otu005365,171,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,WCHB1-69,WCHB1-69_unclassified,41,Bacteroidetes
5371,Otu005372,170,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae_unclassified,76,Bacteroidetes
5382,Otu005383,169,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagales_unclassified,Cytophagales_unclassified,29,Bacteroidetes
5401,Otu005402,169,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,47,Bacteroidetes
5419,Otu005420,168,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,FFCH9454,FFCH9454_unclassified,16,Bacteroidetes
5477,Otu005478,166,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Ulvibacter,21,Bacteroidetes
5519,Otu005520,164,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,34,Bacteroidetes
5543,Otu005544,163,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Taibaiella,30,Bacteroidetes
5629,Otu005630,159,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Chitinophagaceae_unclassified,26,Bacteroidetes
5630,Otu005631,159,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacterium,47,Bacteroidetes
5641,Otu005642,159,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Flavobacteriaceae,Flavobacteriaceae_unclassified,10,Bacteroidetes
5738,Otu005739,155,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,env.OPS_17,env.OPS_17_unclassified,22,Bacteroidetes
5757,Otu005758,154,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae_unclassified,30,Bacteroidetes
5779,Otu005780,154,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae_unclassified,22,Bacteroidetes
5792,Otu005793,153,Bacteria,Bacteroidetes,Flavobacteriia,Flavobacteriales,Cryomorphaceae,Cryomorphaceae_unclassified,29,Bacteroidetes
5822,Otu005823,152,Bacteria,Bacteroidetes,Bacteroidia,Bacteroidales,Bacteroidales_unclassified,Bacteroidales_unclassified,25,Bacteroidetes
5890,Otu005891,150,Bacteria,Bacteroidetes,Sphingobacteriia,Sphingobacteriales,Chitinophagaceae,Flavisolibacter,31,Bacteroidetes
5901,Otu005903,149,Bacteria,Bacteroidetes,Cytophagia,Cytophagales,Cytophagaceae,Cytophagaceae_unclassified,37,Bacteroidetes
