,OTU,Size,Kingdom,Phylum,Class,Order,Family,Genus,size.sub,preferred
5829,Otu005830,152,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,32,Planctomycetes
5848,Otu005849,151,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,28,Planctomycetes
5961,Otu005964,147,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,17,Planctomycetes
5990,Otu005993,146,Bacteria,Planctomycetes,OM190,OM190_unclassified,OM190_unclassified,OM190_unclassified,39,Planctomycetes
6032,Otu006035,144,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Candidatus_Nostocoida,23,Planctomycetes
6041,Otu006044,144,Bacteria,Planctomycetes,OM190,OM190_unclassified,OM190_unclassified,OM190_unclassified,37,Planctomycetes
6131,Otu006134,141,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Singulisphaera,33,Planctomycetes
6145,Otu006148,140,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Isosphaera,17,Planctomycetes
6158,Otu006161,140,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomycetaceae_unclassified,20,Planctomycetes
6184,Otu006187,139,Bacteria,Planctomycetes,Planctomycetacia,Planctomycetales,Planctomycetaceae,Planctomyces,21,Planctomycetes
6254,Otu006257,137,Bacteria,Planctomycetes,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,18,Planctomycetes
6284,Otu006287,136,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,17,Planctomycetes
6335,Otu006338,134,Bacteria,Planctomycetes,OM190,OM190_unclassified,OM190_unclassified,OM190_unclassified,34,Planctomycetes
6460,Otu006463,131,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,38,Planctomycetes
6550,Otu006554,128,Bacteria,Planctomycetes,Phycisphaerae,WD2101_soil_group,WD2101_soil_group_unclassified,WD2101_soil_group_unclassified,26,Planctomycetes
